(Namespace(debug=True, route='gpx/routes/whitchurch-routeA.gpx', track='gpx/tracks/routeA/MotoG3.gpx'),)
(True,)
('gpx/routes/whitchurch-routeA.gpx',)
('gpx/tracks/routeA/MotoG3.gpx',)
track.filename	gpx/tracks/routeA/MotoG3.gpx
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058798, 'lon: ', -1.308169)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058863, 'lon: ', -1.308048)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058934, 'lon: ', -1.307922)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058995, 'lon: ', -1.307815)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.05909, 'lon: ', -1.307671)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.059199, 'lon: ', -1.307563)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.059288, 'lon: ', -1.307503)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.059383, 'lon: ', -1.307548)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.059476, 'lon: ', -1.307562)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.05957, 'lon: ', -1.307597)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.059664, 'lon: ', -1.307616)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.059758, 'lon: ', -1.307646)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.059848, 'lon: ', -1.307661)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.059948, 'lon: ', -1.307698)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.060074, 'lon: ', -1.307754)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.060171, 'lon: ', -1.307798)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.060297, 'lon: ', -1.307863)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.060389, 'lon: ', -1.307918)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.060503, 'lon: ', -1.30798)
('interval: ', datetime.timedelta(0, 11), 'lat: ', 51.060655, 'lon: ', -1.307997)
('interval: ', datetime.timedelta(0, 5), 'lat: ', 51.060747, 'lon: ', -1.307966)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.060844, 'lon: ', -1.307963)
('interval: ', datetime.timedelta(0, 45), 'lat: ', 51.060954, 'lon: ', -1.307657)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.060958, 'lon: ', -1.30751)
('interval: ', datetime.timedelta(0, 26), 'lat: ', 51.061012, 'lon: ', -1.307386)
('interval: ', datetime.timedelta(0, 33), 'lat: ', 51.0611, 'lon: ', -1.307297)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.061202, 'lon: ', -1.307306)
('interval: ', datetime.timedelta(0, 184), 'lat: ', 51.061302, 'lon: ', -1.307347)
('interval: ', datetime.timedelta(0, 6), 'lat: ', 51.061415, 'lon: ', -1.30732)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.061511, 'lon: ', -1.30733)
('interval: ', datetime.timedelta(0, 6), 'lat: ', 51.061632, 'lon: ', -1.307307)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.061753, 'lon: ', -1.307308)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.061868, 'lon: ', -1.307326)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.061967, 'lon: ', -1.307338)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.062057, 'lon: ', -1.307318)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.062162, 'lon: ', -1.307336)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.062284, 'lon: ', -1.307384)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.06241, 'lon: ', -1.307403)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.062508, 'lon: ', -1.307416)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.062602, 'lon: ', -1.30743)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.06273, 'lon: ', -1.30743)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.062824, 'lon: ', -1.307406)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06292, 'lon: ', -1.307412)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.063018, 'lon: ', -1.307405)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.063143, 'lon: ', -1.307424)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.063232, 'lon: ', -1.307445)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.063346, 'lon: ', -1.307479)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.063438, 'lon: ', -1.307503)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.063564, 'lon: ', -1.307513)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.063687, 'lon: ', -1.307544)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.06379, 'lon: ', -1.307551)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.063905, 'lon: ', -1.307507)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.063999, 'lon: ', -1.307461)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.064066, 'lon: ', -1.30734)
('interval: ', datetime.timedelta(0, 12), 'lat: ', 51.064179, 'lon: ', -1.307213)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.064233, 'lon: ', -1.307079)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.064283, 'lon: ', -1.306934)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06434, 'lon: ', -1.306805)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.064433, 'lon: ', -1.306645)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06449, 'lon: ', -1.306509)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.064554, 'lon: ', -1.30638)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.064647, 'lon: ', -1.306224)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.064712, 'lon: ', -1.306119)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.064773, 'lon: ', -1.306008)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.064859, 'lon: ', -1.305904)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.064936, 'lon: ', -1.305791)
